115
"[(8, 6, 1), (6, 7, 2), (7, 4, 2), (13, 15, 2), (15, 20, 2), (19, 18, 2), (18, 23, 2), (22, 16, 2), (16, 21, 2), (21, 24, 2), (24, 22, 2), (12, 8, 3), (20, 14, 3), (14, 19, 3), (12, 19, 3), (1, 10, 4), (5, 11, 4), (9, 12, 4), (23, 25, 4), (25, 19, 4), (1, 2, 5), (10, 5, 5), (3, 9, 5), (4, 13, 5), (16, 11, 5), (2, 17, 7), (23, 22, 7), (15, 25, 8), (17, 3, 11)]"
connection,path
"(8, 6, 1)","[(12, 9, 0), (12, 10, 0)]"
"(6, 7, 2)","[(12, 10, 0), (13, 10, 0), (14, 10, 0)]"
"(7, 4, 2)","[(14, 10, 0), (15, 10, 0), (15, 11, 0)]"
"(13, 15, 2)","[(16, 7, 0), (16, 6, 0), (16, 5, 0)]"
"(15, 20, 2)","[(16, 5, 0), (15, 5, 0), (15, 4, 0)]"
"(19, 18, 2)","[(11, 4, 0), (10, 4, 0), (9, 4, 0)]"
"(18, 23, 2)","[(9, 4, 0), (9, 3, 0), (9, 2, 0)]"
"(22, 16, 2)","[(2, 2, 0), (2, 3, 0), (2, 4, 0)]"
"(16, 21, 2)","[(2, 4, 0), (1, 4, 0), (1, 3, 0)]"
"(21, 24, 2)","[(1, 3, 0), (1, 2, 0), (1, 1, 0)]"
"(24, 22, 2)","[(1, 1, 0), (2, 1, 0), (2, 2, 0)]"
"(12, 8, 3)","[(11, 7, 0), (12, 7, 0), (12, 8, 0), (12, 9, 0)]"
"(20, 14, 3)","[(15, 4, 0), (14, 4, 0), (13, 4, 0), (13, 5, 0)]"
"(14, 19, 3)","[(13, 5, 0), (12, 5, 0), (11, 5, 0), (11, 4, 0)]"
"(12, 19, 3)","[(11, 7, 0), (11, 6, 0), (11, 6, 1), (11, 5, 1), (11, 4, 1), (11, 4, 0)]"
"(1, 10, 4)","[(1, 11, 0), (1, 10, 0), (1, 9, 0), (1, 8, 0), (1, 7, 0)]"
"(5, 11, 4)","[(3, 10, 0), (4, 10, 0), (4, 9, 0), (4, 8, 0), (4, 7, 0)]"
"(9, 12, 4)","[(8, 8, 0), (9, 8, 0), (9, 7, 0), (10, 7, 0), (11, 7, 0)]"
"(23, 25, 4)","[(9, 2, 0), (10, 2, 0), (10, 1, 0), (11, 1, 0), (12, 1, 0)]"
"(25, 19, 4)","[(12, 1, 0), (12, 2, 0), (11, 2, 0), (11, 3, 0), (11, 4, 0)]"
"(1, 2, 5)","[(1, 11, 0), (2, 11, 0), (3, 11, 0), (4, 11, 0), (5, 11, 0), (6, 11, 0)]"
"(10, 5, 5)","[(1, 7, 0), (2, 7, 0), (2, 8, 0), (3, 8, 0), (3, 9, 0), (3, 10, 0)]"
"(3, 9, 5)","[(10, 11, 0), (9, 11, 0), (8, 11, 0), (8, 10, 0), (8, 9, 0), (8, 8, 0)]"
"(4, 13, 5)","[(15, 11, 0), (16, 11, 0), (16, 10, 0), (16, 9, 0), (16, 8, 0), (16, 7, 0)]"
"(16, 11, 5)","[(2, 4, 0), (3, 4, 0), (4, 4, 0), (4, 5, 0), (4, 6, 0), (4, 7, 0)]"
"(2, 17, 7)","[(6, 11, 0), (6, 10, 0), (6, 9, 0), (6, 8, 0), (6, 7, 0), (6, 6, 0), (6, 5, 0), (6, 4, 0)]"
"(23, 22, 7)","[(9, 2, 0), (8, 2, 0), (7, 2, 0), (6, 2, 0), (5, 2, 0), (4, 2, 0), (3, 2, 0), (2, 2, 0)]"
"(15, 25, 8)","[(16, 5, 0), (16, 4, 0), (16, 3, 0), (16, 2, 0), (15, 2, 0), (14, 2, 0), (13, 2, 0), (13, 1, 0), (12, 1, 0)]"
"(17, 3, 11)","[(6, 4, 0), (7, 4, 0), (7, 5, 0), (8, 5, 0), (8, 6, 0), (9, 6, 0), (10, 6, 0), (10, 6, 1), (10, 7, 1), (10, 8, 1), (10, 8, 0), (10, 9, 0), (10, 10, 0), (10, 11, 0)]"
